condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
random,16,0,False,native16@C1,native16,c1,identity,False,False,,0.36330935251798563,0.36345755693581777,2.0218426963047564,0.3717692580421825,0.0,0.35702208419599724,1.5494716916188656,0.12077294685990347,0.061197377501725346
random,16,0,False,native16@C1,native16,c1,topology_ridge,False,False,,0.4244604316546763,0.42453416149068324,1.41745753536659,0.16541533843303832,0.3904761904761905,0.4229296066252588,0.1070631946457317,0.1159420289855072,0.05636645962732918
random,16,0,False,native16@C1,native16,c1,prior_match,False,True,,0.3980815347721823,0.39841269841269844,1.4781891490128336,0.19491677229693882,0.30917874396135264,0.4229296066252588,0.1816259430032693,0.16908212560386476,0.10905797101449276
random,16,0,False,native16@C1,native16,c1,topology_shrinkage,False,True,0.2061192284152773,0.420863309352518,0.420928226363009,1.4220404324312592,0.16674433310608713,0.40476190476190477,0.4229296066252588,0.06667119414461954,0.08095238095238094,0.055141476880607304
random,16,0,False,native16@C1,native16,c1,oracle,True,False,,0.42326139088729015,0.4232746721877157,1.4221209784130788,0.16201554421538641,0.40096618357487923,0.4229296066252588,0.0,0.0579710144927536,0.04796411318150448
random,16,0,False,native16@C2,native16,c2,identity,False,False,,0.3597122302158273,0.35912698412698413,2.251375184691688,0.41779531789927254,0.004761904761904762,0.35702208419599724,1.7619179183224116,0.14975845410628014,0.07698412698412697
random,16,0,False,native16@C2,native16,c2,topology_ridge,False,False,,0.4040767386091127,0.40374396135265694,1.4737315687674122,0.2109280968424171,0.3333333333333333,0.4229296066252588,0.22353178945146793,0.09999999999999998,0.06946169772256726
random,16,0,False,native16@C2,native16,c2,prior_match,False,True,,0.39448441247002397,0.3942891649413388,1.5865623419072268,0.23137899741759987,0.21256038647342995,0.4229296066252588,0.38054060810969964,0.13043478260869568,0.09610075914423741
random,16,0,False,native16@C2,native16,c2,topology_shrinkage,False,True,0.20357520526550046,0.4040767386091127,0.40376121463077985,1.4752526976098834,0.21301618467963992,0.3285024154589372,0.4229296066252588,0.1083147576159673,0.06666666666666665,0.03107315389924084
random,16,0,False,native16@C2,native16,c2,oracle,True,False,,0.39928057553956836,0.39906832298136646,1.480158099315498,0.22280211604986247,0.2898550724637681,0.4229296066252588,0.0,0.0531400966183575,0.04318495514147688
random,16,0,False,native16@C3,native16,c3,identity,False,False,,0.36330935251798563,0.3638888888888889,1.941292117831453,0.3522030280638731,0.004761904761904762,0.35702208419599724,1.4105002707431944,0.22857142857142854,0.12115251897860593
random,16,0,False,native16@C3,native16,c3,topology_ridge,False,False,,0.3920863309352518,0.3924085576259489,1.448007548771049,0.17647199544669023,0.2761904761904762,0.4229296066252588,0.2799673471434752,0.2095238095238095,0.09090752242926155
random,16,0,False,native16@C3,native16,c3,prior_match,False,True,,0.3776978417266187,0.37743271221532093,1.490927914389004,0.18786321064142703,0.2608695652173913,0.4229296066252588,0.25281341443773014,0.09999999999999998,0.05032781228433403
random,16,0,False,native16@C3,native16,c3,topology_shrinkage,False,True,0.1911044528234421,0.39688249400479614,0.39711870255348514,1.4490709570370308,0.1714787856457604,0.3047619047619048,0.4229296066252588,0.20530778874501576,0.18095238095238092,0.07895100069013111
random,16,0,False,native16@C3,native16,c3,oracle,True,False,,0.39568345323741005,0.3954623878536922,1.448846831491448,0.1676237929650564,0.33816425120772947,0.4229296066252588,0.0,0.1333333333333333,0.07543133195307107
random,16,0,False,native16@C4,native16,c4,identity,False,False,,0.3105515587529976,0.30935127674258106,2.3367061820702553,0.4939537794133162,0.004761904761904762,0.35702208419599724,1.6189601808799,0.3816425120772946,0.14315044858523118
random,16,0,False,native16@C4,native16,c4,topology_ridge,False,False,,0.3920863309352518,0.3913216011042098,1.5243993793475716,0.20572493266780686,0.2028985507246377,0.4229296066252588,0.31931166987873266,0.14009661835748793,0.081608005521049
random,16,0,False,native16@C4,native16,c4,prior_match,False,True,,0.38609112709832133,0.38590407177363695,1.592725150267685,0.22207050777542045,0.16908212560386474,0.4229296066252588,0.47280277277393684,0.1739130434782609,0.10707384403036578
