test_view,class_index,class_name,n_probe_seeds,recall_gap_mean,recall_gap_std,predicted_fraction_change_mean,predicted_fraction_change_std,mean_probability_change_mean,mean_probability_change_std
cz,0,left_fist,3,0.20694752402069475,0.012992162476900928,-0.11129598816786838,0.02398632867067397,-0.10390499773831761,0.020770147415841458
cz,1,right_fist,3,0.015590200445434244,0.027367941486513378,0.009983361064891847,0.020204110482625603,0.014507403888714123,0.012734899126439894
cz,2,both_fists,3,-0.09555555555555557,0.04286067004885762,0.10297652061379181,0.01381391668938631,0.08285867156786957,0.011089690211897827
cz,3,both_feet,3,0.013980868285504064,0.05879318426913367,-0.0016638935108153157,0.030625485728848625,0.006538922282528244,0.023319439836700043
fcz,0,left_fist,3,0.1278640059127864,0.037388440118083476,-0.07487520798668885,0.008716713059069185,-0.06814368617610451,0.009294029803350588
fcz,1,right_fist,3,-0.020044543429844113,0.029209080286423147,0.033277870216306155,0.023419625436181275,0.02738330066448851,0.01603496564123698
fcz,2,both_fists,3,-0.07037037037037037,0.017261007700342293,0.07524496210020336,0.0026210846512770905,0.05991450449484063,0.0043295867524196655
fcz,3,both_feet,3,0.05298013245033112,0.0563238446895058,-0.03364762432982068,0.028633869323792697,-0.01915411754320136,0.02139420190871572
pz,0,left_fist,3,0.12269031781226904,0.01678908601862608,-0.07524496210020337,0.015333654494171912,-0.06888247442012402,0.013468462657267902
pz,1,right_fist,3,0.019302152932442435,0.018002012847783414,-0.009798484008134581,0.0070228951426225044,-0.008193802411737366,0.0034370152899033464
pz,2,both_fists,3,0.046666666666666634,0.041514537093932054,-0.019966722129783704,0.021701605708834004,-0.012468734819394154,0.017602909645652212
pz,3,both_feet,3,-0.13833701250919792,0.029644204677680187,0.10501016823812165,0.02899152853334086,0.08954501171459618,0.021563931557381788
random_linear,0,left_fist,3,-0.021433850702143393,0.004615667404581232,0.020521353300055462,0.005290844156499986,0.016148347599429253,0.0032404566939356776
random_linear,1,right_fist,3,-0.016332590942835956,0.0012858580605559526,0.007764836383804781,0.0038824181919023953,0.006973040356708353,0.0016930930877468136
random_linear,2,both_fists,3,0.014074074074074036,0.014286890016285846,-0.009983361064891857,0.004835162444304693,-0.009056709742155842,0.0012146960362368665
random_linear,3,both_feet,3,0.02428256070640176,0.00795927433877256,-0.018302828618968387,0.0033277870216306127,-0.014064679081274798,0.0014891397321253306
