probe_seed,test_view,true_class,predicted_class,car_fraction,shifted_fraction,fraction_change
7,cz,left_fist,left_fist,0.541019955654102,0.31929046563192903,-0.22172949002217296
7,cz,left_fist,right_fist,0.026607538802660754,0.06651884700665188,0.03991130820399112
7,cz,left_fist,both_fists,0.3237250554323725,0.49223946784922396,0.16851441241685144
7,cz,left_fist,both_feet,0.10864745011086474,0.12195121951219512,0.013303769401330379
7,cz,right_fist,left_fist,0.035634743875278395,0.0200445434298441,-0.015590200445434296
7,cz,right_fist,right_fist,0.5011135857461024,0.5167037861915368,0.015590200445434355
7,cz,right_fist,both_fists,0.33407572383073497,0.3830734966592428,0.04899777282850781
7,cz,right_fist,both_feet,0.1291759465478842,0.0801781737193764,-0.0489977728285078
7,cz,both_fists,left_fist,0.044444444444444446,0.006666666666666667,-0.03777777777777778
7,cz,both_fists,right_fist,0.09777777777777778,0.11777777777777777,0.01999999999999999
7,cz,both_fists,both_fists,0.7066666666666667,0.7533333333333333,0.046666666666666634
7,cz,both_fists,both_feet,0.1511111111111111,0.12222222222222222,-0.028888888888888895
7,cz,both_feet,left_fist,0.07505518763796909,0.01545253863134658,-0.05960264900662251
7,cz,both_feet,right_fist,0.03532008830022075,0.09271523178807947,0.05739514348785872
7,cz,both_feet,both_fists,0.3554083885209713,0.4392935982339956,0.08388520971302432
7,cz,both_feet,both_feet,0.5342163355408388,0.45253863134657835,-0.08167770419426046
7,pz,left_fist,left_fist,0.541019955654102,0.3991130820399113,-0.1419068736141907
7,pz,left_fist,right_fist,0.026607538802660754,0.04212860310421286,0.015521064301552107
7,pz,left_fist,both_fists,0.3237250554323725,0.36363636363636365,0.039911308203991136
7,pz,left_fist,both_feet,0.10864745011086474,0.1951219512195122,0.08647450110864746
7,pz,right_fist,left_fist,0.035634743875278395,0.026726057906458798,-0.008908685968819597
7,pz,right_fist,right_fist,0.5011135857461024,0.46547884187082406,-0.035634743875278374
7,pz,right_fist,both_fists,0.33407572383073497,0.2828507795100223,-0.05122494432071267
7,pz,right_fist,both_feet,0.1291759465478842,0.22494432071269488,0.09576837416481068
7,pz,both_fists,left_fist,0.044444444444444446,0.017777777777777778,-0.02666666666666667
7,pz,both_fists,right_fist,0.09777777777777778,0.08,-0.01777777777777778
7,pz,both_fists,both_fists,0.7066666666666667,0.6533333333333333,-0.053333333333333344
7,pz,both_fists,both_feet,0.1511111111111111,0.24888888888888888,0.09777777777777777
7,pz,both_feet,left_fist,0.07505518763796909,0.02207505518763797,-0.05298013245033112
7,pz,both_feet,right_fist,0.03532008830022075,0.02869757174392936,-0.00662251655629139
7,pz,both_feet,both_fists,0.3554083885209713,0.2980132450331126,-0.05739514348785868
7,pz,both_feet,both_feet,0.5342163355408388,0.6512141280353201,0.11699779249448128
7,fcz,left_fist,left_fist,0.541019955654102,0.37028824833702884,-0.17073170731707316
7,fcz,left_fist,right_fist,0.026607538802660754,0.07538802660753881,0.04878048780487805
7,fcz,left_fist,both_fists,0.3237250554323725,0.4567627494456763,0.1330376940133038
7,fcz,left_fist,both_feet,0.10864745011086474,0.0975609756097561,-0.01108647450110864
7,fcz,right_fist,left_fist,0.035634743875278395,0.0200445434298441,-0.015590200445434296
7,fcz,right_fist,right_fist,0.5011135857461024,0.5523385300668151,0.05122494432071267
7,fcz,right_fist,both_fists,0.33407572383073497,0.36525612472160357,0.031180400890868598
7,fcz,right_fist,both_feet,0.1291759465478842,0.062360801781737196,-0.066815144766147
7,fcz,both_fists,left_fist,0.044444444444444446,0.017777777777777778,-0.02666666666666667
7,fcz,both_fists,right_fist,0.09777777777777778,0.14444444444444443,0.04666666666666665
7,fcz,both_fists,both_fists,0.7066666666666667,0.7577777777777778,0.05111111111111111
7,fcz,both_fists,both_feet,0.1511111111111111,0.08,-0.07111111111111111
7,fcz,both_feet,left_fist,0.07505518763796909,0.026490066225165563,-0.04856512141280353
7,fcz,both_feet,right_fist,0.03532008830022075,0.12362030905077263,0.08830022075055188
