probe_seed,test_view,class_index,class_name,car_recall,shifted_recall,recall_gap,car_predicted_fraction,shifted_predicted_fraction,predicted_fraction_change,mean_probability_change,run_dir
7,cz,0,left_fist,0.541019955654102,0.31929046563192903,0.22172949002217296,0.17415418746533556,0.0904048807542984,-0.08374930671103717,-0.08033098268531347,outputs/reve_statistical_audit_s7
7,cz,1,right_fist,0.5011135857461024,0.5167037861915368,-0.015590200445434355,0.16472545757071547,0.19800332778702162,0.033277870216306155,0.029201794002641696,outputs/reve_statistical_audit_s7
7,cz,2,both_fists,0.7066666666666667,0.7533333333333333,-0.046666666666666634,0.4298391569606212,0.516916250693289,0.08707709373266775,0.07051742014598844,outputs/reve_statistical_audit_s7
7,cz,3,both_feet,0.5342163355408388,0.45253863134657835,0.08167770419426046,0.23128119800332778,0.194675540765391,-0.03660565723793677,-0.01938823230547243,outputs/reve_statistical_audit_s7
7,pz,0,left_fist,0.541019955654102,0.3991130820399113,0.1419068736141907,0.17415418746533556,0.11647254575707154,-0.05768164170826402,-0.053481289691645534,outputs/reve_statistical_audit_s7
7,pz,1,right_fist,0.5011135857461024,0.46547884187082406,0.035634743875278374,0.16472545757071547,0.1536328341652801,-0.011092623405435376,-0.011685394284092598,outputs/reve_statistical_audit_s7
7,pz,2,both_fists,0.7066666666666667,0.6533333333333333,0.053333333333333344,0.4298391569606212,0.39933444259567386,-0.03050471436494734,-0.017149325007551786,outputs/reve_statistical_audit_s7
7,pz,3,both_feet,0.5342163355408388,0.6512141280353201,-0.11699779249448128,0.23128119800332778,0.33056017748197447,0.0992789794786467,0.08231600911043768,outputs/reve_statistical_audit_s7
7,fcz,0,left_fist,0.541019955654102,0.37028824833702884,0.17073170731707316,0.17415418746533556,0.10870770937326678,-0.06544647809206879,-0.05814652070867887,outputs/reve_statistical_audit_s7
7,fcz,1,right_fist,0.5011135857461024,0.5523385300668151,-0.05122494432071267,0.16472545757071547,0.223516361619523,0.058790904048807546,0.04508600370741542,outputs/reve_statistical_audit_s7
7,fcz,2,both_fists,0.7066666666666667,0.7577777777777778,-0.05111111111111111,0.4298391569606212,0.5030504714364947,0.07321131447587353,0.056802717254722135,outputs/reve_statistical_audit_s7
7,fcz,3,both_feet,0.5342163355408388,0.41721854304635764,0.11699779249448117,0.23128119800332778,0.16472545757071547,-0.06655574043261231,-0.04374219955777581,outputs/reve_statistical_audit_s7
7,random_linear,0,left_fist,0.541019955654102,0.5609756097560976,-0.019955654101995624,0.17415418746533556,0.18857459789240155,0.014420410427065988,0.012904991133869947,outputs/reve_statistical_audit_s7
7,random_linear,1,right_fist,0.5011135857461024,0.5189309576837416,-0.017817371937639215,0.16472545757071547,0.17637271214642264,0.011647254575707172,0.008410772392462573,outputs/reve_statistical_audit_s7
7,random_linear,2,both_fists,0.7066666666666667,0.7088888888888889,-0.0022222222222222365,0.4298391569606212,0.42540210759844704,-0.00443704936217415,-0.008757435948854586,outputs/reve_statistical_audit_s7
7,random_linear,3,both_feet,0.5342163355408388,0.5011037527593819,0.0331125827814569,0.23128119800332778,0.2096505823627288,-0.021630615640598982,-0.01255832935168405,outputs/reve_statistical_audit_s7
21,cz,0,left_fist,0.6651884700665188,0.4678492239467849,0.1973392461197339,0.2789794786466999,0.15640599001663893,-0.12257348863006098,-0.11187122204847041,outputs/reve_statistical_audit_s21
21,cz,1,right_fist,0.46325167037861914,0.4365256124721604,0.026726057906458767,0.15141430948419302,0.15085967831392125,-0.0005546311702717688,0.006676648964329263,outputs/reve_statistical_audit_s21
21,cz,2,both_fists,0.6133333333333333,0.7266666666666667,-0.1133333333333334,0.34775374376039936,0.4597892401552967,0.11203549639489735,0.09198756771984495,outputs/reve_statistical_audit_s21
