method,clean_car_bacc,native16_reference_bacc_mean,native16_both_fists_recall_mean,native16_worst_class_recall
car_only,0.5326149286108618,0.35284938611957123,0.24155145929339478,0.06075747739310281
joint_multiview_ce,0.5500344670692267,0.4415992838083327,0.3248847926267281,0.2980030721966206
spectral_capacity_control,0.5479909519798004,0.4436133194854822,0.32968509984639016,0.23502304147465436
gqba_odd,0.5448087040272213,0.4384856278771544,0.402457757296467,0.30357498435455427
gqba_odd_even,0.539658146421301,0.44043818989880745,0.4299155145929339,0.32483798439620537
