seed,encoder,defense,train_view,test_view,n_train,n_val,n_test,probe,selected_c,selected_epoch,validation_balanced_accuracy,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,reve,none,car,car,6300,1734,1803,reve_token,,11,0.5306567757205671,0.5768164170826401,0.5769112416078538,0.5780406156584261,0.8261582842141422,1.0,0.0,1.0,0.0
7,reve,none,car,cz,6300,1734,1803,reve_token,,11,0.5306567757205671,0.5468663338879645,0.5470640111192548,0.5465903751360015,0.8071862567044187,0.9802468353200412,0.19137354615585594,0.769689749931577,0.02984723048859894
7,reve,none,car,pz,6300,1734,1803,reve_token,,11,0.5306567757205671,0.5812534664448142,0.5810910461495171,0.5797867098592456,0.8185763934280559,0.9796095710093697,0.19629928226216145,0.7506588487236203,-0.0041798045416633345
7,reve,none,car,fcz,6300,1734,1803,reve_token,,11,0.5306567757205671,0.5424292845257903,0.5427249548532005,0.5440035802621421,0.8107763391647317,0.9796015742423384,0.19487757014904933,0.7725143085497554,0.034186286754653294
7,reve,none,car,random_linear,6300,1734,1803,reve_token,,11,0.5306567757205671,0.5812534664448142,0.5813974328586243,0.580672672442907,0.8270222967734019,0.9997478890861514,0.021351378774646882,0.9949261356297902,-0.004486191250770544
