epoch,train_loss,validation_balanced_accuracy,learning_rate
1.0,1.4334629926227387,0.26823579234621175,6.45769549087854e-06
2.0,1.3698798594399104,0.31834069256411285,1.6733570872048158e-05
3.0,1.2868149081487503,0.4453478803323511,3.301973581024263e-05
4.0,1.1540510014882164,0.4141152314468043,5.883156775208591e-05
5.0,1.0123410222265457,0.3540851470324846,9.974056448166367e-05
6.0,0.8738167808926295,0.4220311253274248,9.974056448166367e-05
7.0,0.732216497792138,0.5002875804661516,9.974056448166367e-05
8.0,0.6439236990989201,0.4764914155217357,9.974056448166367e-05
9.0,0.530749008806925,0.5151033877258904,9.974056448166367e-05
10.0,0.4839111375997937,0.507565471326158,9.974056448166367e-05
11.0,0.4134606115023295,0.5306567757205671,9.974056448166367e-05
12.0,0.3519334367532579,0.4373561388112535,9.974056448166367e-05
13.0,0.3188055510180337,0.47420548138515334,9.974056448166367e-05
14.0,0.26368256377795385,0.5074793465181602,9.974056448166367e-05
15.0,0.21916126079029508,0.49715003161280075,9.974056448166367e-05
16.0,0.20134272651066856,0.478871851440551,9.974056448166367e-05
17.0,0.18624596907978966,0.4842919450813422,4.9870282240831836e-05
