probe_seed,reference_seed,defense,test_view,subject_id,n_trials,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,balanced_accuracy_gap_from_car
7,7,none,car,90,90,0.7222222222222222,0.7233201581027667,0.7224418899177681,0.9062246240895037,0.0
7,7,none,car,91,90,0.6111111111111112,0.6136363636363636,0.6194922194922196,0.8259109518091939,0.0
7,7,none,car,92,114,0.6666666666666666,0.6703703703703704,0.6703125,0.8775474365991608,0.0
7,7,none,car,93,90,0.6333333333333333,0.6343873517786561,0.6278195488721804,0.8938241540495615,0.0
7,7,none,car,94,90,0.7,0.7025691699604744,0.7052954355585934,0.9114283124021835,0.0
7,7,none,car,95,90,0.5222222222222223,0.5187747035573123,0.5121397948114297,0.846458282003144,0.0
7,7,none,car,96,90,0.7,0.7070099284773198,0.7062421185372004,0.9308037848740266,0.0
7,7,none,car,97,90,0.5444444444444444,0.5479249011857708,0.5346258400255595,0.7846452751355985,0.0
7,7,none,car,98,90,0.45555555555555555,0.45970379258422733,0.44715000446707764,0.7799447569423615,0.0
7,7,none,car,99,90,0.35555555555555557,0.34885540184453223,0.3280960725494273,0.6311986229903834,0.0
7,7,none,car,100,72,0.5972222222222222,0.5972222222222222,0.6015001935733644,0.8413065843621399,0.0
7,7,none,car,101,90,0.7,0.7038690476190476,0.6666712929393637,0.9718241507514851,0.0
7,7,none,car,102,90,0.6,0.5968379446640316,0.6015193956370427,0.8848001983225005,0.0
7,7,none,car,103,90,0.6,0.600296442687747,0.6069579389456528,0.8562581549934587,0.0
7,7,none,car,104,87,0.5977011494252874,0.5944616977225673,0.5969241443108233,0.8349714219958786,0.0
7,7,none,car,105,90,0.6555555555555556,0.6558265104460757,0.6762029191663059,0.9171070683302522,0.0
7,7,none,car,106,90,0.4222222222222222,0.4226072840203275,0.40780029366482295,0.7183817480642976,0.0
7,7,none,car,107,90,0.4888888888888889,0.49086556559382644,0.4830718581479385,0.728866637234604,0.0
7,7,none,car,108,90,0.6222222222222222,0.617094861660079,0.5986904145822552,0.8995278779318936,0.0
7,7,none,car,109,90,0.4444444444444444,0.4496047430830039,0.3961138310893513,0.7271137482779082,0.0
7,7,none,cz,90,90,0.6333333333333333,0.6299407114624506,0.6339799743677028,0.8892365364528207,0.09337944664031617
7,7,none,cz,91,90,0.6,0.5993083003952568,0.6172241390326496,0.8128127526746644,0.014328063241106803
7,7,none,cz,92,114,0.6491228070175439,0.6555555555555556,0.6478620501800793,0.8631476920270024,0.014814814814814836
7,7,none,cz,93,90,0.6,0.6012845849802372,0.5885035175816155,0.8937351214747005,0.03310276679841895
7,7,none,cz,94,90,0.6777777777777778,0.6788537549407114,0.6754181898748199,0.8985448325103153,0.02371541501976293
7,7,none,cz,95,90,0.5,0.49654150197628455,0.4829131652661064,0.8422584603719372,0.022233201581027706
7,7,none,cz,96,90,0.7111111111111111,0.7149856484095615,0.7172619047619047,0.9179813529643662,-0.007975719932241665
7,7,none,cz,97,90,0.43333333333333335,0.43922924901185767,0.3921358198451795,0.7669411313578585,0.10869565217391308
7,7,none,cz,98,90,0.4222222222222222,0.42867141916054957,0.3957525513454866,0.7681076107708928,0.03103237342367776
7,7,none,cz,99,90,0.34444444444444444,0.3330686523621306,0.28453020993343575,0.6141294889094016,0.015786749482401607
7,7,none,cz,100,72,0.5972222222222222,0.5972222222222222,0.5784362462933891,0.8623971193415638,0.0
7,7,none,cz,101,90,0.7666666666666667,0.7752976190476191,0.7474341794863415,0.9714588087314449,-0.07142857142857151
7,7,none,cz,102,90,0.5777777777777777,0.5760869565217391,0.5854715513257013,0.8719362383617832,0.02075098814229248
7,7,none,cz,103,90,0.4666666666666667,0.46739130434782605,0.4525156922672451,0.8102219155906124,0.1329051383399209
7,7,none,cz,104,87,0.5172413793103449,0.5105872388481084,0.4900259898065953,0.8252806033037011,0.08387445887445888
7,7,none,cz,105,90,0.6777777777777778,0.680177159796725,0.6957061646295831,0.9073694336248255,-0.024350649350649345
7,7,none,cz,106,90,0.5,0.5054877188029362,0.46382212361504854,0.7199815174481883,-0.0828804347826087
7,7,none,cz,107,90,0.5333333333333333,0.5342555994729907,0.5294654392764858,0.7230041830902617,-0.04339003387916429
7,7,none,cz,108,90,0.5444444444444444,0.5390316205533596,0.5235023041474653,0.8949365732370466,0.07806324110671936
7,7,none,cz,109,90,0.4222222222222222,0.42835968379446643,0.3796753650201926,0.7144084419798242,0.021245059288537482
7,7,none,pz,90,90,0.6888888888888889,0.6887351778656127,0.6872835230084117,0.8745441011635614,0.03458498023715406
7,7,none,pz,91,90,0.6222222222222222,0.6230237154150198,0.6393928723425816,0.8461155987673815,-0.009387351778656128
7,7,none,pz,92,114,0.6754385964912281,0.6787037037037037,0.6789594676346037,0.8734092775041051,-0.008333333333333304
