condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,topology_bias,uniform_bias,fixed_bias,candidate_bias,oracle_bias_audit_only,candidate_prior_displacement_from_nominal,candidate_update_norm_from_topology,target_reference_labels_used_for_candidate
random,16,0,native16@C1,native16,c1,False,"[0.25, 0.25, 0.125, 0.375]","[0.12235459552426405, 0.218839932684389, 0.29866906317911457, 0.3601364086122324]","[0.1298114683548079, 0.2616285941573358, 0.24366790513262845, 0.3648920323552278]","[0.23342162848543052, 0.2546053654120764, 0.24897690105700201, 0.26299610504549104]",0.10914001206402427,0.08480086977675647,0.08398094467397378,0.3774503925739371,0.20679764956215102,0.11335938680890806,0.1299781906858132,0.19756325305693673,0.1953806105301884,"[-0.9625716104271574, -1.7267564639203927, 1.6712853208369591]","[-0.7319751226502198, -2.195436267011648, 1.9524721573760895]","[-0.9175175278591823, -1.8183274099915305, 1.7262237766330266]","[-0.9351087372992816, -1.812872612203457, 1.725611353079334]","[-1.2440507718239628, -1.7970742811392375, 1.8718951488827436]",0.02158696992295212,0.10545860882236256,False
random,16,0,native16@C2,native16,c2,False,"[0.25, 0.25, 0.125, 0.375]","[0.14483948126956878, 0.23652134901487035, 0.27760032534788215, 0.34103884436767884]","[0.14301079320874116, 0.272209539941173, 0.24279441175028404, 0.3419852550998018]","[0.23496163913820994, 0.25568745263989645, 0.24892025212237934, 0.2604306560995142]",0.09444658294532753,0.08201440552525197,0.08476565174468123,0.29254530317895555,0.1440199936521261,0.14260537802738646,0.16948789735415015,0.14600084008897288,0.19505474787378166,"[-1.5667723052957072, -1.2065343810659863, 1.8677518415989576]","[-1.621099208206944, -1.8523293165067665, 2.4324185693781537]","[-1.577369025645822, -1.3324997493765527, 1.977892767818642]","[-1.5963098410964192, -1.3234481300370913, 1.9766832317471807]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",0.019195412396873463,0.1625033491325065,False
random,16,0,native16@C3,native16,c3,False,"[0.25, 0.25, 0.125, 0.375]","[0.09111131136929539, 0.2062279604027477, 0.25363676383645856, 0.44902396439149833]","[0.07625053144235122, 0.24425561003335905, 0.23109866116106187, 0.44839519736322786]","[0.22647551629424995, 0.25363005526797533, 0.24755466104126786, 0.272339767396507]",0.11089248299573673,0.1082423862637821,0.08081668598750817,0.3496427482287132,0.049801054006915695,0.1312651478577088,0.15135266868251562,0.05697293840035276,0.1904042617177993,"[-0.6152534202041661, -1.8285897558857815, 1.4032005193903188]","[0.005318220930239864, -2.1858651103634066, 1.8185667313273803]","[-0.49709393503096644, -1.8966165059850588, 1.482288016316714]","[-0.5207123949631309, -1.894835684633379, 1.4802053740159746]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",0.03273566136224814,0.1387669851411934,False
random,16,0,native16@C4,native16,c4,False,"[0.25, 0.25, 0.125, 0.375]","[0.18188689507238526, 0.15264590909487236, 0.3043638164219498, 0.3611033794107926]","[0.22528664609935758, 0.16115639552751773, 0.24997466582058087, 0.3635822925525439]","[0.24867252275610413, 0.23872385245098743, 0.24999814097093148, 0.2626054838219769]",0.1077980853077774,0.0778668206892429,0.08424069119561656,0.18454525358155757,0.16254797145746755,0.23149066687748737,0.2185964589023704,0.16881785539491562,0.18342950491094132,"[-1.7844653794930534, -0.9076821658649207, 1.868282074690178]","[-2.077742586045582, -0.62924915232382, 2.0575056931547713]","[-1.8382610722926476, -0.8566093360402152, 1.9029912693425952]","[-1.83945508870811, -0.8691669709558995, 1.903372687197641]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",0.016965020637248696,0.07575380811936322,False
random,16,0,native16@CP1,native16,cp1,False,"[0.25, 0.25, 0.125, 0.375]","[0.1017096727695355, 0.28614943262571885, 0.2848307858114648, 0.32731010879328076]","[0.07815853824726654, 0.34984277507052614, 0.2404261735161155, 0.33157251316609176]","[0.2244029896204513, 0.2677338598647962, 0.24841216687629789, 0.25945098363845465]",0.11304535422309345,0.11694786857440102,0.08595323560125417,0.42664801616011283,0.13596965629729535,0.2540047686586966,0.28384620704634306,0.1512411526097467,0.1926600819751851,"[-0.9448818905173966, -1.591495540224129, 1.7126253337347401]","[-0.34472190123886487, -2.4041079578632925, 1.8797697420729322]","[-0.8292550177847684, -1.7480535152205436, 1.74482738914687]","[-0.8602115785050306, -1.727905226486886, 1.7442262765865006]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",0.03258126811279782,0.16363154901086585,False
random,16,0,native16@CP2,native16,cp2,False,"[0.25, 0.25, 0.125, 0.375]","[0.12997450719519166, 0.2226721409845505, 0.3157016349632923, 0.33165171685696565]","[0.14521528699119057, 0.26827546825530685, 0.2479022296671684, 0.3386070150863342]","[0.23538627729955364, 0.25510735683811625, 0.24944715241663634, 0.2600592134456939]",0.11554124591517832,0.08328150489210825,0.08505604643905317,0.4067236779338141,0.1381756388862063,0.10240967266393725,0.07162182728121347,0.12895211117324207,0.19838509243063743,"[-1.3968568073032501, -1.1226779095772532, 1.9102450327905927]","[-1.0745901305056855, -1.644407517827237, 1.9790336107985171]","[-1.3329239028394508, -1.2261812861337265, 1.9238916611968668]","[-1.3481629924438332, -1.2211603733810816, 1.9228218072507064]","[-1.5508839006235946, -1.1327849957616867, 1.8915173835136267]",0.018469959410725673,0.11058055226058566,False
random,16,0,native16@CP3,native16,cp3,False,"[0.25, 0.25, 0.125, 0.375]","[0.09960068269861713, 0.30672233839019686, 0.28697213272945354, 0.3067048461817324]","[0.0702233890109425, 0.37706747323778855, 0.24113961226039868, 0.31156952549087025]","[0.22271571051482894, 0.27158334152337577, 0.24843604928829352, 0.2572648986735018]",0.11909720623629527,0.12843053301901783,0.08704637475548324,0.36525667894254416,0.1568017527233613,0.298804658175132,0.3429250830559226,0.17986430818457932,0.18213697954309313,"[-0.5849053462529745, -1.7035919646504314, 1.4464871510966795]","[0.04537621916759173, -2.548831598869499, 1.468841883252107]","[-0.4701077656655801, -1.8575413586172012, 1.450558774489964]","[-0.5048683365174271, -1.8339862271183092, 1.4519326021174597]","[-0.2690280012544185, -2.012113363126037, 1.3534259132234152]",0.03557383559008204,0.15309552426106265,False
random,16,0,native16@CP4,native16,cp4,False,"[0.25, 0.25, 0.125, 0.375]","[0.14253537661070007, 0.19191128211086103, 0.30471976001986356, 0.3608335812585754]","[0.1652942217936008, 0.2228675822206749, 0.2464667658754803, 0.36537143011024403]","[0.2391250919108629, 0.24851295542062113, 0.24940369649344726, 0.26295825617506874]",0.10888391064312805,0.07542897574287051,0.08388996809525782,0.3722211374560471,0.19805962724910597,0.18522815537481502,0.16771033864815546,0.1932564620878219,0.19715247800665772,"[-1.5796417362265889, -0.718505998678845, 1.8906299018792603]","[-1.4328691394660682, -1.0232497712825666, 2.1196998855908924]","[-1.5507051550717803, -0.7785869886047662, 1.9357916168049534]","[-1.56203969141559, -0.7799372025532944, 1.9347347552097327]","[-1.8201067051697242, -0.5851536966260378, 1.848103452282816]",0.01699255450186563,0.07764575248070595,False
random,16,0,native16@CPz,native16,cpz,False,"[0.25, 0.25, 0.125, 0.375]","[0.10744993743698986, 0.22972654195734143, 0.29798588955034766, 0.36483763105532097]","[0.10795446114055629, 0.2797545141198247, 0.24207639652057839, 0.3702146282190406]","[0.23003991932744874, 0.25758784257131256, 0.24873241089868067, 0.2636398272025581]",0.11264870745354605,0.09326313396206226,0.08391480466463867,0.5605342979382968,0.21500587427056544,0.161283813269936,0.13549700603825204,0.20343709439012977,0.1971732582933757,"[-1.2122608018958005, -1.3435582669726749, 1.8515003531535579]","[-0.6685715235350939, -1.8662582725975565, 1.9686342180411853]","[-1.105059815382246, -1.4466207301916987, 1.8745960189499473]","[-1.126675064288799, -1.4391512203297299, 1.8731196834311976]","[-1.3720204927172988, -1.1974443321346002, 1.9475733943525393]",0.025369900346418475,0.1301165886999512,False
random,16,0,native16@Cz,native16,cz,False,"[0.25, 0.25, 0.125, 0.375]","[0.11407092372330274, 0.25712972527264855, 0.309962804984298, 0.3188365460197506]","[0.11281123574051205, 0.3153650815013855, 0.24586965768751134, 0.3259540250705911]","[0.2299159123340649, 0.26223794442626347, 0.24910016109160849, 0.2587459821480632]",0.11820862865137075,0.10013532434286176,0.08583266352449237,0.41250565907289655,0.08490687727488241,0.050611220369964655,0.07886279377266711,0.07824978782001038,0.19566431001432502,"[-1.3694522994675875, -1.421593428115472, 1.8783453837012385]","[-0.9993407194089748, -2.1828891629314504, 2.0597618278002243]","[-1.2970346725271074, -1.570551832785089, 1.913842107061119]","[-1.3170409611402716, -1.55748325884418, 1.9125464635472842]","[-1.4306019718662335, -1.6257486904517406, 1.9410563841357629]",0.025108559794392346,0.1496085169479762,False
