epoch,train_loss,train_ce_loss,train_consistency_loss,train_auxiliary_preservation_loss,train_auxiliary_residual_consistency_loss,train_auxiliary_gate_supervision_loss,validation_auxiliary_preservation_loss,validation_auxiliary_consistency_loss,validation_auxiliary_gate_target_mean,validation_auxiliary_gate_nontarget_mean,validation_auxiliary_gate_supervision_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4268654685550266,1.4268654685550266,0.0,0.0,0.0,0.0,3.0357814466697164e-05,6.201196647110871e-14,0.2593507170677185,0.2594844698905945,0.8250170237012553,0.2688479333473802,0.2602541565216713,0.0010527909034863114,0.8833333333333333,6.450892358088527e-06
2.0,1.411690321498447,1.411690321498447,0.0,0.0,0.0,0.0,0.0001535500050522387,2.2538761221962966e-12,0.252967894077301,0.2533735930919647,0.8334761296388107,0.25227678571428575,0.2555968915343915,0.0007739999564364552,0.3933333333333333,1.6722788633201854e-05
3.0,1.4162070226669312,1.4162070226669312,0.0,0.0,0.0,0.0,0.0008331813151016831,3.8942724045476496e-11,0.21174833178520203,0.21177393198013306,0.9084000932760906,0.2564285714285714,0.2587808641975309,0.0006776104564778507,0.37777777777777777,3.3002647113295634e-05
4.0,1.4022493832199663,1.4022493832199663,0.0,0.0,0.0,0.0,0.00913531519472599,4.839756595487188e-09,0.25246182084083557,0.25047674775123596,0.9128981368359455,0.41589492028374764,0.3831888500647719,0.008369604125618935,0.6166666666666667,5.880448399262659e-05
5.0,1.2905636720304137,1.2905636720304137,0.0,0.0,0.0,0.0,0.0013256067177280784,1.1214386752556038e-08,0.14269980788230896,0.13817498087882996,1.0893281997936428,0.5090229930467762,0.4419436347957734,0.027584195137023926,0.5311111111111111,9.969763961567034e-05
6.0,1.192909996068036,1.192909996068036,0.0,0.0,0.0,0.0,0.01213127002120018,1.3806122467485693e-07,0.214535191655159,0.21205349266529083,0.9955777045940365,0.5414337073324906,0.4730645397293627,0.05342261865735054,0.6366666666666667,9.969763961567034e-05
7.0,1.1429733947471337,1.1429733947471337,0.0,0.0,0.0,0.0,0.004197755362838507,3.0454356192421983e-07,0.15790623426437378,0.14606846868991852,1.09507864997282,0.5455339145245118,0.48267462561065066,0.06616607308387756,0.61,9.969763961567034e-05
8.0,1.0909160697018658,1.0909160697018658,0.0,0.0,0.0,0.0,0.007467618212103844,6.244579253689153e-07,0.14830759167671204,0.1363072693347931,1.1907156940515786,0.5879561736198904,0.5129838089775406,0.06164613366127014,0.6966666666666667,9.969763961567034e-05
9.0,1.059679398889895,1.059679398889895,0.0,0.0,0.0,0.0,0.009522853419184685,1.0819888984769932e-06,0.14266830682754517,0.12733802199363708,1.288584510260381,0.597738841480545,0.5258276170186201,0.06442014873027802,0.6322222222222222,9.969763961567034e-05
10.0,1.0274637888979028,1.0274637888979028,0.0,0.0,0.0,0.0,0.006970966700464487,2.7449536901258398e-06,0.18195204436779022,0.17521029710769653,1.0779337670810185,0.6177050410872313,0.541809267258198,0.08217746764421463,0.6411111111111111,9.969763961567034e-05
