seed,probe_seed,reference_seed,encoder,defense,train_view,training_views,test_view,reference_view,montage,n_observed_channels,observed_channel_fraction,missing_channel_fill,channel_policy,n_train,n_val,n_test,probe,probe_objective,consistency_weight,set_queries,set_heads,selected_c,selected_epoch,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car
7,7,7,reve,none,car,car,car,car,full,64,1.0,none,full,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.6112035496394898,0.611212242089543,0.6123183203820777,0.8383253221316116,1.0,0.0,1.0,0.0
7,7,7,reve,none,car,car,native32@car,car,sparse32,32,0.5,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.4897393233499723,0.490037479359131,0.4624451748309892,0.7642122888418696,0.951944350143667,0.32481534262007317,0.78698250301658,0.12117476273041194
7,7,7,reve,none,car,car,native16@car,car,sparse16,16,0.25,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.38380476982806433,0.38443157166219133,0.25803827883436414,0.705115326766949,0.8725916136629781,0.5622447509798728,0.5448728190461871,0.22678067042735162
7,7,7,reve,none,car,car,native8@car,car,sparse8,8,0.125,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.3793677204658902,0.37993282761911984,0.2569992166521939,0.6926874707408917,0.8606462078205825,0.5855732295794738,0.3928652983754936,0.2312794144704231
7,7,7,reve,none,car,car,native32@cz,cz,sparse32,32,0.5,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.48696616749861343,0.4871224268729844,0.4630801931694314,0.7478008850712968,0.9457822126594019,0.34363285498015916,0.639329312459835,0.12408981521655854
7,7,7,reve,none,car,car,native16@cz,cz,sparse16,16,0.25,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.3843594009983361,0.38495884377244954,0.2635836786959452,0.6980707914333021,0.8682024500090599,0.5749919103360214,0.4609478482664449,0.2262533983170934
7,7,7,reve,none,car,car,native8@cz,cz,sparse8,8,0.125,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.37992235163616195,0.3803839049836095,0.2741021399773701,0.6931146783429574,0.8678468755662694,0.5707737541945962,0.3219917360191726,0.23082833710593342
7,7,7,reve,none,car,car,native_drop_left_motor@cz,cz,drop_left_motor,55,0.859375,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.5585135884636716,0.5588287900628665,0.5579929031606587,0.8065585864019513,0.9754312016684886,0.21653935447813816,0.7351314407061313,0.05238345202667649
7,7,7,reve,none,car,car,native_drop_right_motor@cz,cz,drop_right_motor,55,0.859375,removed,remove,6300,1734,1803,reve_set,car_only,0.0,4,8,,13,0.5594972475095404,0.0,0.0,0.5568496949528563,0.5564296002610007,0.5550640565839982,0.8087947426582643,0.9710214088919402,0.23476626127549388,0.7405235206355223,0.0547826418285422
