probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
42,7,none,cz,20,10000,0.95,0.00021204110925376884,0.00031251754126248546,-0.020816569938074982,0.02283530218113062,0.5028,False
42,7,none,pz,20,10000,0.95,0.004602774916818264,0.004796015243807136,-0.013494387219897909,0.022886406285435652,0.6968,False
42,7,none,fcz,20,10000,0.95,0.006658119944349061,0.00668906840880979,-0.006705276469056238,0.019465196190845975,0.8464,False
42,7,none,random_linear,20,10000,0.95,0.003325914915354833,0.003349630283983356,-0.0016758494554230008,0.008413770401528617,0.9089,False
